goos: darwin
goarch: arm64
pkg: github.com/swonky/set/setbench
cpu: Apple M1
BenchmarkContainsHit/Stable/8-8            	310982709	         3.846 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/8-8            	312297121	         3.840 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/8-8            	312356124	         3.847 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/32-8              	228886110	         5.226 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/32-8              	227410353	         5.231 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/32-8              	229307851	         5.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/32-8              	228968616	         5.238 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/32-8              	228783597	         5.243 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/32-8           	228705384	         5.231 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/32-8           	229153076	         5.231 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/32-8           	228859827	         5.232 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/32-8           	228506358	         5.232 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/32-8           	228954435	         5.233 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/32-8           	220323698	         5.457 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/32-8           	220188132	         5.449 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/32-8           	218594314	         5.465 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/32-8           	218796354	         5.463 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/32-8           	219525663	         5.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/128-8             	229048156	         5.240 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/128-8             	228761608	         5.229 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/128-8             	229343953	         5.248 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/128-8             	227729353	         5.241 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/128-8             	228833350	         5.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/128-8          	228432754	         5.255 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/128-8          	228226335	         5.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/128-8          	229154335	         5.235 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/128-8          	229015972	         5.311 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/128-8          	228409964	         5.247 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/128-8          	219458349	         5.457 ns/op	       0 B/op	       0 allocs/op
